content;score;sentimen
aplikasi burukuang beku tidak transaksi apa berualng kali upgread tolak tidak cs yg tidak solusi apa uang lumayan tidak transaksi tolong baik guna;1;Tidak Bisa Dipercaya
pake aps transaksi apa lancar bagus kalo top up money loading masalah terupdate saldo masuk nya tuh butuh tolong ya saldo mohon proses karna masuk kartu money nya kemarin;3;Tidak Bisa Dipercaya
sinyal bagus suka lot loadingnya lumayan makan tolong perhati server systemnya bantu ekonomi guna tolong tambah fitur pinjam dana tambah lg guna thanks;4;Bisa Dipercaya
overall aplikasi ok uinya lumayan lot pas masuk kategori cuman aneh dana jalan latar sampe makan cpu kasih bintang dlu;1;Tidak Bisa Dipercaya
download dana isi saldo buka aplikasi tulis koneksi internet putus data aktif buka aplikasi kalo kaya gin gimana ya kak udah kali hapus buka dana tetep gak masukin no hp;5;Tidak Bisa Dipercaya
bagus sekalisy apk dana transferbeli paket databyr mudah pokok top dah syg nya sy fitur dana cicil;4;Bisa Dipercaya
ko lot alias lola bin lambat sih aplikasi nya cek saldo terang koneksi internet hilangterussss buka aplikasi paylter nya aja gak kenadala ko aplikasi dana koneksi internet hilang terang nyamohon bantu tunjuk nya ka;3;Tidak Bisa Dipercaya
coba ganti nomor dana hubung google tp top up game tambah metode bayar google play nomor dana yg ganti muncul terusapanya yg salah;4;Tidak Bisa Dipercaya
bantu transaksi screening ketat account tidak baiktidak tipu tipu ditarikaleh itubelum berani top up;5;Bisa Dipercaya
edit dana yaa gabisa liat detail transaksi jdi susah kalo kirim uang krna transaksi nya gabisa buka muter aja loading gitu tolong dana baik ngadu ana loading gitu udah minggu ga ubah update udah instal ulang udah hapus data udah hapus chace udah baik mslah tolong delover lirik;1;Tidak Bisa Dipercaya
aplikasi bagus nya transaksi bantu update nya lot buka aplikasi lambat alias transaksi kesel nya;4;Bisa Dipercaya
dana error coba dana temen ga ganggu sekalikalo transfer uang temen tulis muncul tidak jaring ku coba pakai wifi data paket tetep gajadi aneh aneh jadi yg teman;1;Tidak Bisa Dipercaya
jelek problem jaring sistem terkadang sulit bukti kirim sulut proses transaksi bug transaksi gagal tau hasil kirim kali;1;Tidak Bisa Dipercaya
update versi baru yah bayar gagalditolak saldo nya bayar gak nyesel gw update aplikasi mending versi lancar gak bug nya versi baru;1;Tidak Bisa Dipercaya
saldo dana potong trs izin pake sandirugi bgt niat beli pulsa potong sm bayar jlssya langgan aplikasi apapunbahkan ga instal game free fire bayar fftolong uang lohjgn potong seenaknyalama gua pindah aj apk bayar;1;Tidak Bisa Dipercaya
dana gak jelassaya beli paket kuota dana tampil menu nya ga muncul alias stuck beli dana aplikasi nya langsung ngestucktidak muncul menu membayargimana aduhh kecewa bangetudah hapus cache min playstorenya ga update udah;3;Tidak Bisa Dipercaya
paket data jaring kenceng ga buka aplikasi nya jaring putus uang hilang sedikitsedikit aplikasi ga recomend banget aplikasi busuk;1;Tidak Bisa Dipercaya
dah jaring full data paket cepat udah tulis koneksi internet mu putus nih masak pake wifi akses aplikasi dana wifi nya lot udah gila kah keluh yg kalo gak percaya wa mu min biar ku screenshot kirim;5;Tidak Bisa Dipercaya
apk dana tidak transaksi no dana terang jaring tidak adapadahal jaring bagus beli transaksi dana tolong baik;1;Tidak Bisa Dipercaya
aplikasi mudah ngeleg kadang kirim dana kadang gak kirim gak fiturnya bosen gue hapus data login biar muncul fiturnya;1;Tidak Bisa Dipercaya
kayak aplikasi main tk tidak rekomend kualitas aplikasi upgrade premium jam akun daftar saran upgrade premium rawan aplikasi bintang bagus upgrade tok;2;Tidak Bisa Dipercaya
masuk muncul kamera qris kudu masuk gak buru qr nya dipake transaksi gak butuh pin aman ajah;2;Tidak Bisa Dipercaya
bagus ketik nama kirim dana eh ketik nya kali kali tolong baik tulis nama ketik nya ulang kali trus tulis huruf kayak pencet nya gin tttttttttttttt;4;Bisa Dipercaya
baru lot yaa aja minta akses lokasi terus muncul buka aplikasi gak nyaman banget kadang lg karna mepet minta akses lokasi muncul ganggu;2;Tidak Bisa Dipercaya
salam aplikasi dana bantu mudah simpan uang mengirin uang mana batu masyarakat aplikasi sukses jaring nya mantap kirim cepat itungan detik biaya sukses;5;Bisa Dipercaya
bayar tagih wifi dana tgl status on proses dana tidak kembali wifi mati hambat sekaliiii skrg chat ana bot semuaa pdhl dana tolong fast respon tangan customer;3;Tidak Bisa Dipercaya
aplikasi tidak buka baru masuk otomatis install ulang masuk no hp verifikasi pin otomatis akun saldo emas tidak akses;1;Tidak Bisa Dipercaya
lapor rincian saldo transaksi nya data transaksi nya buku saldo terakirnya lapor transaksi saldo nya cantum;4;Tidak Bisa Dipercaya
aju lapor sore transfer bri dana salah nomor tuju asal transfer si transfer dana si nomor si mati tidak aktif inti cs dana tidak bantu alami sayang revisi regulasi sisyem;1;Tidak Bisa Dipercaya
tarik dana bisnis susah gagal karna alesan aman udah tidak tarik jawab tunggu notifikasi kerja kerja sampe skrng blom transaksi tarik pindah aja belah aplikasi qrisnya mudah tarik;2;Tidak Bisa Dipercaya
bantu penggunaanx mudah smga tingkat keamananx spy tdk atw tdk mudah yg tdk tanggung penggunax nyaman krn aman;5;Bisa Dipercaya
sistem keamananya gimana pakek veritikasi wajah kode pin akun bajak saldo hilang transaksi pakek veritikasi wajah sistem keamananya;1;Tidak Bisa Dipercaya
kecewa saat lg butuh dana cicil ga sllu transaksi mengunakan dana ewalet dacil pajang aja menu ning hapus aja dacil;1;Tidak Bisa Dipercaya
logoutnamun login nya susah banget jengkel perlu dana tidak cepat merespon login ku tolong bug nya kondisi logout tiba susah login nya verifikasi wajah nya tolong benah kecewa;5;Tidak Bisa Dipercaya
maaf ya kasih bintang bagiin bukti transaksi bgt loading nya jdi praktis kalo screenshot trus kalo buka aplikasi bgt pake data wifi klo yg udah oke;3;Tidak Bisa Dipercaya
tolong dana klok udh ganti hp kartu nya ilang payah urus gada pilih kode otp gmail pilih whatsappsama sms ga kayak aplikasi belah tingal konfirmasi gmail yg kait udah langsung;5;Tidak Bisa Dipercaya
niat bayar layan pdam aplikasi saldo sy laku top up via aplikasi mobile banking bni top up tidak masuk saldo transaksi tahan gagal uang yg hasil top up gak mana chat ana tidak solusi apa robot uang sya rating bintang;1;Tidak Bisa Dipercaya
makasih tanggap tp aja app dana lambat buka muncul nya jg masuk menu pake jaring seluler wifi aja sdh say instal ulang app ecomerce yg byk tumbnail video mlh cepat;2;Tidak Bisa Dipercaya
kecewa aplikasi dana suruh lepas ektp akun premium ganti akun lepas ektp akun premium upgrade akun tidak hasil chatbot tuju upgrade tolak tidak bantu butuh akun baru diupgrade premium uang masuk transfer rek bank butuh;1;Tidak Bisa Dipercaya
aplikasi buruk saldo hilang tidak transaksi terang aktifitas bahwasannya yg transaksi yg curiga saldo lenyap tanggal lapor nunggu proses lihat aja saldo tidak tidak hapus aplikasi aplikasi aman buruk;1;Tidak Bisa Dipercaya
gatau kenpa ya banget dana terkadang gabisa gunain tf wallet banget salah nih salah sistem silah coba tidak tanggung nya banget urgent sulit udah kasih percaya pegang uang konsumen nya sistem nya jelek banget internet abis beli internet pakai wifi tetep gabisaa huh cape;1;Tidak Bisa Dipercaya
updated developer dana tolong aplikasi periksa jd boros banget ya nyala hp sampe menit udah nguras baterai hp pantau guna baterai yg atur hp guna dana baterai hp awet loh jd selesai pakai solusi mati paksa aplikasi tolong baik;1;Tidak Bisa Dipercaya
mudah transaksi sulit kirim dana update versi baru mohon baik yg hadap terima kasih kasih bintang full nya bantu pecah hadap;4;Bisa Dipercaya
knp kayak gin banget contoh nya bayar tidak muncul kayak gk internet nya pas cek internet nya aman aja pas udah muncul bayar nya orang ber transaksi udh tunggu kayak gitu;5;Tidak Bisa Dipercaya
pas beli pulsa kouta beberpa kali tidak masuk bayar nya hasil gimana bayar nya hasil pulsakouta nya tidak yg masuk;2;Tidak Bisa Dipercaya
top up dana terang transaksi bank masuk hasil masuk dana berharihari uang tahan dana transaksi hasil sayang uang jdi hilang tolong jalan keluar sdh lapor bank uang masuk akun transaksi yg masuk akun;1;Tidak Bisa Dipercaya
kecewa aplikasi inijadi linglung bayar bisamalah arah upgrade kepremiumkuikuti upgrade muncul notifikasi upgrade minggu iniuntuk tidak diupgrade kecewa bangat;2;Tidak Bisa Dipercaya
bagus bangett udah top deh sayang nya kaya bug gitu gatau sih benernya gimana nyimpen uang goals ku otomatis pake sandi pas ambil pas ku ambil ngga kaya salah gitu sandi dah bener loh ganti deh sandi ku;5;Bisa Dipercaya
aplikasi dana busuk bangettttttt jaring super bagus buka aplikasi dana tidak koneksi jaring jelek bangettttttt habis update tidak buka pokok jelek uninstall pakai aplikasi ovo yg bagussssssstolong baik dana bgt bug;1;Tidak Bisa Dipercaya
pake aplikasi udah trlanjur pake silah abisin saldo uninstall akun ku blacklist tiba alas lapor penyalahgunaan verifikasi tim akun bayar transfer bank top up woi admin balikin akun tidak guna kelap dana costumer ratus ribu doang orang butuh blacklist;1;Tidak Bisa Dipercaya
kak ya bayar tagih listrik hasil transaksi proses saldo potong jalan lapor info kak problem aman aman mohon baik info cepat kak terimakasih;4;Tidak Bisa Dipercaya
admin tolong update donk transaksi pake paket data susah transaksi wifi terang nya gak koneksi internet jaring data on lancar mohon baik;3;Tidak Bisa Dipercaya
admin ana cs tidak buat apa nggak kehilangab saldo tidak privasi yg gua mudah solusi dri admin ana kecewa;1;Tidak Bisa Dipercaya
aplikasi banyak fitur sampah pakai tahun gak feedback nya danapoly kek reward kek iklan doang nyampah hp gua hadiah sampah pura untung emang cocok transfer terima uang doang gak fitur yg mah mending gopay mana misi gk ribet ngasih saldo misi gak pake ribet pakai gopay brp dana sampah;1;Tidak Bisa Dipercaya
eror transaksi cs tidak merespon keluh suruh tunggu jam bulan tidak info tidak langgan apple apps saldo potong apple pay pake android tolong baik sistem nya oknum nakal basmi;1;Tidak Bisa Dipercaya
keluh dana premium pake prangkat samsung prime tidak kirim dn menu profil sbagian tidak muncul cek tidak kalo pindah hp normal knapa ya;4;Tidak Bisa Dipercaya
